date,name,type
2013-04-25,Take our Daughters and Sons to Work Day,Observance
2013-04-26,World Intellectual Property Day,United Nations observance
2013-04-26,Global Youth Service Day,Worldwide observance
2013-04-26,Arbor Day,State holiday
2013-04-26,Arbor Day,State Observation
2013-04-26,Confederate Heroes' Day,Local observance
2013-04-28,Lag BaOmer,Jewish holiday
2013-04-28,World Day for Safety and Health at Work,United Nations observance
2013-04-29,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance
2013-04-29,Arbor Day,State Observation
2013-04-29,Confederate Memorial Day,State holiday
2013-04-30,International Jazz Day,United Nations observance
2013-05-01,Law Day,Observance
2013-05-01,Loyalty Day,Observance
2013-05-01,Lei Day,Local observance
2013-05-01,First Day of Asian Pacific American Heritage Month,Annual monthly observance
2013-05-01,First Day of Jewish American Heritage Month,Annual monthly observance
2013-05-02,National Day of Prayer,Observance
2013-05-03,Orthodox Good Friday,Orthodox
2013-05-03,World Press Freedom Day,United Nations observance
2013-05-03,Kentucky Oaks,Sporting event
2013-05-04,Orthodox Holy Saturday,Orthodox
2013-05-04,Kent State Shootings Remembrance,Local observance
2013-05-04,Kentucky Derby,Sporting event
2013-05-04,Rhode Island Independence Day,Local observance
2013-05-04,National Explosive Ordnance Disposal (EOD) Day,Observance
2013-05-05,Orthodox Easter,Orthodox
2013-05-05,International Family Equality Day,Worldwide observance
2013-05-05,Cinco de Mayo,Observance
2013-05-06,Orthodox Easter Monday,Orthodox
2013-05-06,National Nurses Day,Observance
2013-05-08,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance
2013-05-08,World Ovarian Cancer Day,Worldwide observance
2013-05-08,World Red Cross and Red Crescent Day,Worldwide observance
2013-05-08,Truman Day,State holiday
2013-05-08,Victory in Europe Day,Observance
2013-05-09,Ascension Day,Christian
2013-05-10,Confederate Memorial Day,State holiday
2013-05-10,Native American Day,State Observation
2013-05-10,Military Spouse Appreciation Day,State Observation
2013-05-11,World Migratory Bird Day,United Nations observance
2013-05-12,International Nurses Day,Worldwide observance
2013-05-12,Mother's Day,State holiday
2013-05-12,Mother's Day,Observance
2013-05-15,Shavuot,Jewish holiday
2013-05-15,International Day of Families,United Nations observance
2013-05-15,Peace Officers Memorial Day,Observance
2013-05-17,World Information Society Day,United Nations observance
2013-05-17,National Defense Transportation Day,Observance
2013-05-18,Armed Forces Day,Observance
2013-05-18,Preakness Stakes,Sporting event
2013-05-19,Pentecost,Christian
2013-05-20,Whit Monday,Christian
2013-05-20,World Autoimmune Arthritis Day,Worldwide observance
2013-05-21,World Day for Cultural Diversity for Dialogue and Development,United Nations observance
2013-05-22,International Day for Biological Diversity,United Nations observance
2013-05-22,Emergency Medical Services for Children Day,Observance
2013-05-22,National Maritime Day,Observance
2013-05-22,Harvey Milk Day,Local observance
2013-05-23,International Day to End Obstetric Fistula,United Nations observance
2013-05-25,Day of Vesak,United Nations observance
2013-05-25,African Liberation Day,Worldwide observance
2013-05-25,National Missing Children's Day,Observance
2013-05-26,Trinity Sunday,Christian
2013-05-27,Memorial Day,Federal Holiday
2013-05-27,Decoration Day,State holiday
2013-05-27,Jefferson Davis' Birthday,Local observance
2013-05-29,International Day of United Nations Peacekeepers,United Nations observance
2013-05-30,Corpus Christi,Christian
2013-05-31,World No Tobacco Day,United Nations observance
2013-06-01,Global Day of Parents,United Nations observance
2013-06-01,First Day of Pride Month,Annual monthly observance
2013-06-01,First Day of Caribbean-American Heritage Month,Annual monthly observance
2013-06-01,Statehood Day,Local observance
2013-06-03,Jefferson Davis' Birthday,Local observance
2013-06-03,Jefferson Davis' Birthday,State holiday
2013-06-04,International Day of Innocent Children Victims of Aggression,United Nations observance
2013-06-05,World Environment Day,United Nations observance
2013-06-06,Isra and Mi'raj,Muslim
2013-06-06,Day of the Russian Language,United Nations observance
2013-06-06,D-Day,Observance
2013-06-08,World Oceans Day,United Nations observance
2013-06-08,Belmont Stakes,Sporting event
2013-06-11,Kamehameha Day,State holiday
2013-06-12,World Day Against Child Labour,United Nations observance
2013-06-12,Loving Day,Observance
2013-06-14,World Blood Donor Day,United Nations observance
2013-06-14,Army Birthday,Observance
2013-06-14,Flag Day,Observance
2013-06-15,World Elder Abuse Awareness Day,United Nations observance
2013-06-15,Juneteenth Day,State Observation
2013-06-16,Father's Day,State holiday
2013-06-16,Father's Day,Observance
2013-06-17,World Day to Combat Desertification and Drought,United Nations observance
2013-06-17,Bunker Hill Day,Local holiday
2013-06-19,Juneteenth,Observance
2013-06-19,Juneteenth,State Observation
2013-06-19,Juneteenth Freedom Day,State holiday
2013-06-19,Juneteenth Independence Day,Observance
2013-06-19,Emancipation Day,State holiday
2013-06-20,World Refugee Day,United Nations observance
2013-06-20,West Virginia Day,State holiday
2013-06-20,American Eagle Day,Observance
2013-06-21,International Day of Yoga,United Nations observance
2013-06-21,June Solstice,Season
2013-06-23,Public Service Day,United Nations observance
2013-06-23,International Widows' Day,United Nations observance
2013-06-23,Juneteenth Independence Day,State Observation
2013-06-25,Day of the Seafarer,United Nations observance
2013-06-26,International Day Against Drug Abuse and Illicit Trafficking,United Nations observance
2013-06-26,International Day in Support of Victims of Torture,United Nations observance
2013-07-04,Independence Day,State holiday
2013-07-04,Independence Day,Federal Holiday
2013-07-06,International Day of Cooperatives,United Nations observance
2013-07-09,Ramadan Starts,Muslim
2013-07-11,World Population Day,United Nations observance
2013-07-13,Nathan Bedford Forrest Day,Local observance
2013-07-14,Bastille Day,Observance
2013-07-16,Tisha B'Av,Jewish holiday
2013-07-18,Nelson Mandela Day,United Nations observance
2013-07-24,Pioneer Day,State holiday
2013-07-27,Korean War Veteran Recognition Day,State Observation
2013-07-27,National Korean War Veterans Armistice Day,Observance
2013-07-28,World Hepatitis Day,United Nations observance
2013-07-28,Parents' Day,Observance
2013-07-30,International Day of Friendship,United Nations observance
2013-08-01,Colorado Day,State Observation
2013-08-03,Lailat al-Qadr,Muslim
2013-08-04,Coast Guard Birthday,Observance
2013-08-04,American Family Day,State holiday
2013-08-07,Purple Heart Day,Observance
2013-08-07,Purple Heart Day,State Observation
2013-08-09,International Day of the World's Indigenous People,United Nations observance
2013-08-12,International Youth Day,United Nations observance
2013-08-12,Victory Day,State holiday
2013-08-15,Assumption of Mary,Christian
2013-08-16,Hawaii Statehood Day,State holiday
2013-08-16,Bennington Battle Day,State holiday
2013-08-18,National Senior Citizens Day,Observance
2013-08-19,World Humanitarian Day,United Nations observance
2013-08-19,National Aviation Day,Observance
2013-08-20,Raksha Bandhan,Hindu Holiday
2013-08-23,International Day for the Remembrance of the Slave Trade and its Abolition,United Nations observance
2013-08-26,Women's Equality Day,Observance
2013-08-27,Lyndon Baines Johnson Day,State holiday
2013-08-28,Janmashtami,Hindu Holiday
2013-08-29,International Day against Nuclear Tests,United Nations observance
2013-08-30,International Day of the Victims of Enforced Disappearances,United Nations observance
2013-08-31,International Overdose Awareness Day,Worldwide observance
2013-09-02,Labor Day,Federal Holiday
2013-09-04,World Sexual Health Day,Worldwide observance
2013-09-05,Rosh Hashana,Jewish holiday
2013-09-05,International Day of Charity,United Nations observance
2013-09-05,Rosh Hashana,State holiday
2013-09-07,Carl Garner Federal Lands Cleanup Day,Observance
2013-09-07,Native American Day,State Observation
2013-09-08,Ganesh Chaturthi,Hindu Holiday
2013-09-08,International Literacy Day,United Nations observance
2013-09-08,National Grandparents Day,Observance
2013-09-09,California Admission Day,State holiday
2013-09-10,World Suicide Prevention Day,Worldwide observance
2013-09-11,Patriot Day,Observance
2013-09-12,International Day for South-South Cooperation,United Nations observance
2013-09-13,International Programmers' Day,Worldwide observance
2013-09-13,Friday the 13th,Worldwide observance
2013-09-14,Yom Kippur,Jewish holiday
2013-09-14,Yom Kippur,State holiday
2013-09-15,International Day of Democracy,United Nations observance
2013-09-15,First Day of National Hispanic Heritage Month,Annual monthly observance
2013-09-15,Constitution Commemoration Day,State holiday
2013-09-16,International Day for the Preservation of the Ozone Layer,United Nations observance
2013-09-17,Constitution Day and Citizenship Day,Observance
2013-09-18,Air Force Birthday,Observance
2013-09-19,First Day of Sukkot,Jewish holiday
2013-09-20,National POW/MIA Recognition Day,Observance
2013-09-21,International Day of Peace,United Nations observance
2013-09-22,Emancipation Day,Local observance
2013-09-22,September Equinox,Season
2013-09-23,International Celebrate Bisexuality Day,Worldwide observance
2013-09-23,American Indian Day,State Observation
2013-09-25,Last Day of Sukkot,Jewish holiday
2013-09-26,Shmini Atzeret,Jewish holiday
2013-09-26,World Maritime Day,United Nations observance
2013-09-27,Simchat Torah,Jewish holiday
2013-09-27,World Tourism Day,United Nations observance
2013-09-27,Native American Day,State Observation
2013-09-27,American Indian Heritage Day,State Observation
2013-09-28,World Rabies Day,Worldwide observance
2013-09-28,National Public Lands Day,Observance
2013-09-29,World Heart Day,Worldwide observance
2013-09-29,Gold Star Mother's Day,Observance
2013-10-01,International Day of Older Persons,United Nations observance
2013-10-01,World Vegetarian Day,Worldwide observance
2013-10-02,International Day of Non-Violence,United Nations observance
2013-10-02,World Cerebral Palsy Day,Worldwide observance
2013-10-04,Feast of St Francis of Assisi,Christian
2013-10-05,Navratri,Hindu Holiday
2013-10-05,World Teachers' Day,United Nations observance
2013-10-07,World Habitat Day,United Nations observance
2013-10-07,Child Health Day,Observance
2013-10-09,World Post Day,United Nations observance
2013-10-09,International Day for Natural Disaster Reduction,United Nations observance
2013-10-09,Leif Erikson Day,Observance
2013-10-10,World Mental Health Day,United Nations observance
2013-10-10,World Sight Day,Worldwide observance
2013-10-11,International Day of the Girl Child,United Nations observance
2013-10-11,Casimir Pulaski Day,State Observation
2013-10-12,World Spanish Language Day,United Nations observance
2013-10-13,Dussehra,Hindu Holiday
2013-10-13,Navy Birthday,Observance
2013-10-13,Chicago Marathon,Sporting event
2013-10-14,Columbus Day,Federal Holiday
2013-10-14,Columbus Day,State holiday
2013-10-14,Fraternal Day,State holiday
2013-10-14,Native American Day,State holiday
2013-10-14,Indigenous People's Day,State Observation
2013-10-14,American Indian Heritage Day,State holiday
2013-10-15,Eid al-Adha,Muslim
2013-10-15,International Day of Rural Women,United Nations observance
2013-10-15,White Cane Safety Day,Observance
2013-10-16,World Food Day,United Nations observance
2013-10-16,Boss's Day,Observance
2013-10-17,International Day for the Eradication of Poverty,United Nations observance
2013-10-18,Alaska Day,State holiday
2013-10-19,Sweetest Day,Observance
2013-10-24,United Nations Day,United Nations observance
2013-10-24,World Development Information Day,United Nations observance
2013-10-25,Nevada Day,State holiday
2013-10-27,World Day for Audiovisual Heritage,United Nations observance
2013-10-29,World Stroke Day,Worldwide observance
2013-10-31,Halloween,Observance
2013-11-01,All Saints' Day,Christian
2013-11-01,World Vegan Day,Worldwide observance
2013-11-01,First Day of Native American Heritage Month,Annual monthly observance
2013-11-02,All Souls' Day,Christian
2013-11-03,Diwali/Deepavali,Hindu Holiday
2013-11-03,New York City Marathon,Sporting event
2013-11-03,Daylight Saving Time ends,Clock change/Daylight Saving Time
2013-11-05,Muharram,Muslim
2013-11-05,Election Day,Observance
2013-11-05,Election Day,State holiday
2013-11-06,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,United Nations observance
2013-11-10,World Science Day for Peace and Development,United Nations observance
2013-11-10,Marine Corps Birthday,Observance
2013-11-11,Barack Obama Day,Local observance
2013-11-11,Veterans Day,Federal Holiday
2013-11-12,World Pneumonia Day,Worldwide observance
2013-11-14,Ashura,Muslim
2013-11-14,World Diabetes Day,United Nations observance
2013-11-16,International Day for Tolerance,United Nations observance
2013-11-17,World Day of Remembrance for Road Traffic Victims,United Nations observance
2013-11-17,World Prematurity Day,Worldwide observance
2013-11-19,World Toilet Day,United Nations observance
2013-11-19,International Men's Day,Worldwide observance
2013-11-19,George Rogers Clark Day,State Observation
2013-11-20,Universal Children's Day,United Nations observance
2013-11-20,Africa Industrialization Day,United Nations observance
2013-11-20,World Chronic Obstructive Pulmonary Disease Day,United Nations observance
2013-11-21,World Television Day,United Nations observance
2013-11-21,World Philosophy Day,United Nations observance
2013-11-25,International Day for the Elimination of Violence against Women,United Nations observance
2013-11-28,Chanukah/Hanukkah (first day),Jewish holiday
2013-11-28,Thanksgiving Day,Federal Holiday
2013-11-29,International Day of Solidarity with the Palestinian People,United Nations observance
2013-11-29,Nellie Tayloe Ross's Birthday,State Observation
2013-11-29,Robert E. Lee's Birthday,State holiday
2013-11-29,Presidents' Day,State holiday
2013-11-29,Lincoln's Birthday/Lincoln's Day,State holiday
2013-11-29,Day After Thanksgiving,State holiday
2013-11-29,Black Friday,Observance
2013-11-29,American Indian Heritage Day,State holiday
2013-11-29,Native American Heritage Day,Observance
2013-11-29,Native American Heritage Day,State holiday
2013-12-01,First Sunday of Advent,Christian
2013-12-01,World AIDS Day,United Nations observance
2013-12-01,Rosa Parks Day,Local observance
2013-12-02,International Day for the Abolition of Slavery,United Nations observance
2013-12-02,Cyber Monday,Observance
2013-12-03,International Day of Persons with Disabilities,United Nations observance
2013-12-05,Last Day of Chanukah,Jewish holiday
2013-12-05,International Volunteer Day for Economic and Social Development,United Nations observance
2013-12-05,World Soil Day,United Nations observance
2013-12-06,St Nicholas Day,Observance
2013-12-07,International Civil Aviation Day,United Nations observance
2013-12-07,Pearl Harbor Remembrance Day,State Observation
2013-12-07,Pearl Harbor Remembrance Day,Observance
2013-12-07,Delaware Day,State Observation
2013-12-09,Feast of the Immaculate Conception,Christian
2013-12-09,International Anti-Corruption Day,United Nations observance
2013-12-10,Human Rights Day,United Nations observance
2013-12-10,Wyoming Day,State Observation
2013-12-11,International Mountain Day,United Nations observance
2013-12-12,Feast of Our Lady of Guadalupe,Christian
